What is the internet doing to me?,"You use the Internet all the time. Your actions and data are used by service providers for your benefit, but also for their benefit, and often in ways that are extremely opaque to you as a user. Understanding more about how that works and what you can control will enable you to make better decisions as to what you do or do not want from your interactions with the Internet."
The EthicsLab: Responsible Action in the Real World,"We are constantly challenged by ethical dilemmas: about the future use of technology and artificial intelligence; about the possibilities of genetic and biomedical engineering; about the culture and behaviour of global financial institutions; about who decides who should pay for what; about the environment, about migration, about political leadership. Citizens of a democratic society need to make ethically informed decisions about these issues, and if you are interested in investigating current and future issues in ethics then this is the module for you.  The EthicsLab is an innovative way to explore ethical issues, where you will learn from professors in different subjects across the university, and engage with leading thinkers about how the major global challenges can be addressed.  We will debate the importance of values and their prioritization, ethical biases and blind-spots, intentions and consequences, and we will do this in a lab-environment where everyone will be involved in designing solutions for the ethical issues of the day. "
Hacking your health: the science of exercise and fitness,"Exercise training enables the human body to do incredible things like run 100m in under 10 seconds or finish a marathon in under 2 hours. But exercise science is not just about breaking records - it has the potential to change the health of the world. Research shows that regular exercise can significantly reduce risk of cancer, heart and metabolic disease and improve mental health. If you want to know more about the science of exercise – from the physiology of elite athletes to how physical activity guidelines shape the health of the general population -  then this is the Trinity Elective for you."
Creativity and Technology,"In this module, you will explore music and audio production basics, learn about the post-war European contributions to modern music technology, understand the evolution of music production techniques, and acquire video creation and editing skills based on early filmmaker and visual artist techniques."
Cultures and Societies of the Middle East and North Africa (MENA),"A global world needs global citizens, individuals who are well-informed about the cultures and societies of regions of the world which until recently have been regarded as only of indirect relevance to European and Western societies. This module examines Western perspectives on the Middle East and North Africa. What are the origins, presuppositions and theoretical foundations of these? Having examined Western perspectives, students are given the opportunity to hear the views of undergraduates in universities throughout MENA region. How do Western interventions and perspectives look from their point of view?"
Irish Sign Language,"Did you know that Irish Sign Language is Ireland’s third official language, after Irish and English? Irish Sign Language is the indigenous language of the Deaf community in Ireland. It is a language like any other language, but it happens to use signs rather than sounds. There are many different sign languages in the world in the same way as there are different spoken languages. Sign languages are full-fledged natural languages with their own grammar and vocabulary. This Trinity Elective will allow you to develop some communication skills in Irish Sign Language, and explore a range of educational, social, cultural, linguistic, and psychological issues."
Becoming Human: The Science of Us,"If you’re reading these words, we have something in common: we’re both human. But what exactly does being human really mean? Are there things that make us uniquely different to the other animals we share this planet with? Can we ever hope to catalogue what these differences are, or discover when, where and why we acquired them? This module explores how 21st century science is seeking to answer the big questions about our origins and about our relationships with each other and the rest of the natural world. So, if you’re interested in finding out a bit more about yourself, and why an accurate understanding of our past has profound implications for how we live our lives today, then this is the elective for you..."
The Chemistry of Periodic Elements,"This course will provide an accessible education in the chemical sciences for all. The course will cover the history of the discovery and identification of the elements that make up the modern periodic table, we will explore the elements in a literary context (through Levi’s Periodic Table), and we will dive into the modern roles of the elements and chemistry in society. The course will also introduce you to the practical aspects of the sciences through hands on experimentation, observation, analysis, and reporting. If you want to explore the central science (chemistry) and its applications, then this is the elective for you!"
"Latin: One Language, Many Cultures","Latin was a living language, and the leading one in Western Europe, for over a millennium: it was a language of power, but also the language in which ordinary people expressed. Latin was also the main form of communication of ideas in the Humanities and Sciences until the early modern period. Acquiring the foundations of Latin empowers you to access a wider English vocabulary, which is significantly Latin based; to enhance your understanding of concepts you encounter in your subjects and in your cultures; to detect the connections between English and modern European languages and the differences between them; to make sense of monumental and private inscriptions everywhere to be seen in urban and rural landscapes across Europe; to encapsulate a personal sentiment in an effective motto. The module expands the intellectual scope of the study of the language to embrace issues of colonialism and cultural transfer, change and continuity, social diversification and artistic use of shared language, the problematic nature of etymology and its ideological implications, and, most importantly, how language shapes the thought and worldview of individuals and nations."
Ages of Empire,"Empires have powerfully shaped the modern world, politically and economically, socially and environmentally, driving change from mass population movements to the spread of global languages or ecological transformations driven by capitalist energies. This Elective module rises to the challenge posed by the sheer diversity and range of impacts produced by empires from the seventeenth to the twentieth centuries, and across the globe, by exploring a wide range of ‘imperial moments’. Some of these will be a historical event such as a battle or a treaty, but others could be a text (a personal memoir, a speech, a manifesto), an image (a poster, painting, map or photograph), an artefact (like an item of clothing) or a site. They allow the opportunity to range across space and time, exploring empire as understood or advanced by imperial powers or as received, endured or engaged with by colonized peoples. The module should appeal to you if you are interested in powerful forces which shaped the modern world, but also in the lived experiences of people encountering ‘empire’. It will give you lots of scope to explore topics, times and places of particular interest to you, whether individually or in groups."
